"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","no_effects","ave_effect","lines","assocs","host","cat_rhiz","cat_sym","pleio_type","trait_combs","host_pleio","pleio","sig"
"freebayes-snp-psymb-369551-G","pSymB","369551",369462,370433,0.429,0.404,"LOW","NP_436825.1","ABC transporter substrate-binding protein","ASP61869.1","CDO30_26905","gene-CDO30_RS26930",NA,1,1,0.362493,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-370049-G","pSymB","370049",369462,370433,0.204,0.169,"LOW","NP_436825.1","ABC transporter substrate-binding protein","ASP61869.1","CDO30_26905","gene-CDO30_RS26930",NA,10,2,0.2787235,"DZA, A17","fit-_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-370124-C","pSymB","370124",369462,370433,0.492,0.472,"LOW","NP_436825.1","ABC transporter substrate-binding protein","ASP61869.1","CDO30_26905","gene-CDO30_RS26930",NA,1,1,0.2497472,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-371511-T","pSymB","371511",371008,372288,0.429,0.404,"LOW","NP_436827.1","TRAP transporter large permease","ASP61871.1","CDO30_26915","gene-CDO30_RS26940",NA,1,1,0.2041013,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-371721-C","pSymB","371721",371008,372288,0.492,0.461,"LOW","NP_436827.1","TRAP transporter large permease","ASP61871.1","CDO30_26915","gene-CDO30_RS26940",NA,1,1,0.2554936,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-371790-T","pSymB","371790",371008,372288,0.34,0.416,"LOW","NP_436827.1","TRAP transporter large permease","ASP61871.1","CDO30_26915","gene-CDO30_RS26940",NA,1,1,0.2332349,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-372000-G","pSymB","372000",371008,372288,0.173,0.135,"LOW","NP_436827.1","TRAP transporter large permease","ASP61871.1","CDO30_26915","gene-CDO30_RS26940",NA,5,1,0.2530872,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-372261-G","pSymB","372261",371008,372288,0.089,0.112,"LOW","NP_436827.1","TRAP transporter large permease","ASP61871.1","CDO30_26915","gene-CDO30_RS26940",NA,1,2,0.3299443,"A17, DZA","chloro1+_A17, fit-_DZA","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-372339-C","pSymB","372339",372285,373220,0.335,0.393,"MODERATE","NP_436828.1","dihydrodipicolinate synthase family protein","ASP61872.1","CDO30_26920","gene-CDO30_RS26945",NA,1,1,0.218068,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-372644-A","pSymB","372644",372285,373220,0.115,0.135,"MODERATE","NP_436828.1","dihydrodipicolinate synthase family protein","ASP61872.1","CDO30_26920","gene-CDO30_RS26945",NA,1,1,0.2532832,"A17","chloro1+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-374374-C","pSymB","374374",NA,NA,0.487,0.416,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS26950-gene-CDO30_RS26955",NA,1,1,0.2232503,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-375351-G","pSymB","375351",374470,376383,0.063,0.067,"LOW","NP_436830.1","adenylate/guanylate cyclase domain-containing protein","ASP61874.1","CDO30_26930","gene-CDO30_RS26955",NA,1,1,0.3749463,"A17","fit+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-377061-T","pSymB","377061",376380,377510,0.23,0.236,"LOW","NP_436831.1","hypothetical protein","ASP63029.1","CDO30_26935","gene-CDO30_RS26960",NA,1,1,0.2037481,"A17","nod.weight+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-37958-A","pSymB","37958",NA,NA,0.058,0.067,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS25310-gene-CDO30_RS25315",NA,3,2,0.41793935,"DZA, A17","nod.weight+_DZA, shoot+_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-380905-G","pSymB","380905",380065,382152,0.152,0.112,"LOW","NP_436838.1","dihydroxyacetone kinase subunit DhaK","ASP61879.1","CDO30_26960","gene-CDO30_RS26985",NA,2,2,0.28358345,"DZA, A17","shoot-_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-384108-A","pSymB","384108",NA,NA,0.084,0.079,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS26995-gene-CDO30_RS27000",NA,2,1,0.4296498,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-384375-C","pSymB","384375",384301,385287,0.466,0.461,"LOW","NP_436841.2","ABC transporter permease","ASP63030.1","CDO30_26975","gene-CDO30_RS27000",NA,1,1,0.1744629,"A17","nod-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-384925-T","pSymB","384925",384301,385287,0.12,0.101,"MODERATE","NP_436841.2","ABC transporter permease","ASP63030.1","CDO30_26975","gene-CDO30_RS27000",NA,1,1,0.2216265,"A17","chloro1-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-385297-T","pSymB","385297",NA,NA,0.094,0.112,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27000-gene-CDO30_RS27005",NA,1,1,0.2772117,"A17","chloro1+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-390835-A","pSymB","390835",390478,391473,0.136,0.124,"LOW","NP_436846.1","C4-dicarboxylate ABC transporter permease","ASP61886.1","CDO30_27005","gene-CDO30_RS27030",NA,1,1,0.210574,"A17","chloro1-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-392066-A","pSymB","392066",391502,392767,0.321,0.33,"LOW","NP_436847.1","TRAP transporter large permease","ASP61887.1","CDO30_27010","gene-CDO30_RS27035",NA,1,1,0.2718502,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-393390-T","pSymB","393390",NA,NA,0.314,0.337,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27040-gene-CDO30_RS27045",NA,1,1,0.2573357,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-393537-A","pSymB","393537",393460,394119,0.178,0.135,"LOW","NP_436849.1","GntR family transcriptional regulator","ASP61889.1","CDO30_27020","gene-CDO30_RS27045",NA,1,1,0.2155732,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-395692-G","pSymB","395692",395636,396907,0.141,0.191,"LOW","NP_436851.1","ABC transporter substrate-binding protein","ASP61891.1","CDO30_27030","gene-CDO30_RS27055",NA,1,1,0.2984673,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-396070-G","pSymB","396070",395636,396907,0.445,0.427,"LOW","NP_436851.1","ABC transporter substrate-binding protein","ASP61891.1","CDO30_27030","gene-CDO30_RS27055",NA,1,1,0.1523685,"A17","nod+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-396082-T","pSymB","396082",395636,396907,0.131,0.18,"LOW","NP_436851.1","ABC transporter substrate-binding protein","ASP61891.1","CDO30_27030","gene-CDO30_RS27055",NA,1,1,0.3654707,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-396409-T","pSymB","396409",395636,396907,0.147,0.202,"LOW","NP_436851.1","ABC transporter substrate-binding protein","ASP61891.1","CDO30_27030","gene-CDO30_RS27055",NA,2,1,0.2595302,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-397117-G","pSymB","397117",396995,397981,0.168,0.124,"LOW","NP_436852.1","sugar ABC transporter permease","ASP61892.1","CDO30_27035","gene-CDO30_RS27060",NA,1,2,0.26329875,"DZA, A17","shoot-_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-397897-C","pSymB","397897",396995,397981,0.407,0.455,"LOW","NP_436852.1","sugar ABC transporter permease","ASP61892.1","CDO30_27035","gene-CDO30_RS27060",NA,1,1,0.2337359,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-399862-A","pSymB","399862",NA,NA,0.466,0.416,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27070-gene-CDO30_RS27075",NA,1,2,0.1569268,"DZA, A17","chloro1+_DZA, nod+_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-400294-A","pSymB","400294",400015,400827,0.12,0.09,"MODERATE","NP_436855.1","trehalose utilization protein ThuA","ASP61895.1","CDO30_27050","gene-CDO30_RS27075",NA,1,1,0.2280653,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-400653-C","pSymB","400653",400015,400827,0.063,0.067,"LOW","NP_436855.1","trehalose utilization protein ThuA","ASP61895.1","CDO30_27050","gene-CDO30_RS27075",NA,1,1,0.6472756,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-403072-C","pSymB","403072",402863,403243,0.335,0.345,"LOW","WP_017264406.1","hypothetical protein","ASP61898.1","CDO30_27065","gene-CDO30_RS34155",NA,1,1,0.2412589,"DZA","fit+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-403974-G","pSymB","403974",403182,404122,0.341,0.256,"MODIFIER","NP_436858.1","sulfatase",NA,"CDO30_27070","gene-CDO30_RS34155-gene-CDO30_RS27100",NA,1,1,0.1621359,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-404883-A","pSymB","404883",404266,406386,0.197,0.138,"LOW","NP_436859.2","transporter","ASP61899.1","CDO30_27075","gene-CDO30_RS27100",NA,1,2,0.227203,"DZA, A17","shoot-_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-405204-C","pSymB","405204",404266,406386,0.069,0.057,"MODERATE","NP_436859.2","transporter","ASP61899.1","CDO30_27075","gene-CDO30_RS27100",NA,1,1,0.3258654,"DZA","nod.weight+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-406145-A","pSymB","406145",404266,406386,0.319,0.241,"MODERATE","NP_436859.2","transporter","ASP61899.1","CDO30_27075","gene-CDO30_RS27100",NA,1,1,0.1827147,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-406282-T","pSymB","406282",404266,406386,0.255,0.195,"LOW","NP_436859.2","transporter","ASP61899.1","CDO30_27075","gene-CDO30_RS27100",NA,3,1,0.1756003,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-406687-T","pSymB","406687",406601,406765,0.128,0.092,"LOW","WP_017264403.1","DUF2950 domain-containing protein","ASP63032.1","CDO30_27085","gene-CDO30_RS27110",NA,1,1,0.2357834,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-408847-G","pSymB","408847",408134,409414,0.073,0.124,"LOW","NP_436861.2","alpha/beta hydrolase","ASP61901.1","CDO30_27100","gene-CDO30_RS27125",NA,1,1,0.2407048,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-409902-T","pSymB","409902",409464,410255,0.199,0.135,"MODERATE","NP_436862.1","hypothetical protein","ASP61902.1","CDO30_27105","gene-CDO30_RS27130",NA,1,1,0.2075763,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-410526-G","pSymB","410526",410313,410924,0.325,0.36,"LOW","NP_436863.1","TetR/AcrR family transcriptional regulator","ASP61903.1","CDO30_27110","gene-CDO30_RS27135",NA,1,1,0.3354091,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-411126-T","pSymB","411126",411022,412245,0.225,0.157,"LOW","NP_436864.1","MFS transporter","ASP61904.1","CDO30_27115","gene-CDO30_RS27140",NA,1,1,0.1717116,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-414727-T","pSymB","414727",413842,416055,0.204,0.146,"LOW","NP_436868.1","twin-arginine translocation pathway signal protein","ASP61909.1","CDO30_27140","gene-CDO30_RS27165",NA,1,1,0.206971,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-414907-A","pSymB","414907",413842,416055,0.304,0.225,"LOW","NP_436868.1","twin-arginine translocation pathway signal protein","ASP61909.1","CDO30_27140","gene-CDO30_RS27165",NA,1,1,0.1490646,"A17","chloro1-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-416626-C","pSymB","416626",NA,NA,0.11,0.09,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27170-gene-CDO30_RS27175",NA,1,1,0.2675628,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-416807-T","pSymB","416807",416792,417748,0.12,0.09,"LOW","NP_436870.1","AraC family transcriptional regulator","ASP61911.1","CDO30_27150","gene-CDO30_RS27175",NA,3,1,0.2259646,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-417881-T","pSymB","417881",NA,NA,0.257,0.169,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27175-gene-CDO30_RS27180",NA,3,1,0.1885351,"A17","nod+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-420426-A","pSymB","420426",417885,421034,0.058,0.079,"LOW","NP_436871.1","AcrB/AcrD/AcrF family protein","ASP61912.1","CDO30_27155","gene-CDO30_RS27180",NA,10,1,0.3376987,"A17","chloro1+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-422080-T","pSymB","422080",421063,422217,0.335,0.281,"LOW","NP_436872.1","efflux RND transporter periplasmic adaptor subunit","ASP61913.1","CDO30_27160","gene-CDO30_RS27185",NA,1,1,0.1590768,"A17","nod+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-422086-A","pSymB","422086",421063,422217,0.147,0.146,"LOW","NP_436872.1","efflux RND transporter periplasmic adaptor subunit","ASP61913.1","CDO30_27160","gene-CDO30_RS27185",NA,1,1,0.2473037,"A17","nod-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-422199-A","pSymB","422199",421063,422217,0.22,0.169,"MODERATE","NP_436872.1","efflux RND transporter periplasmic adaptor subunit","ASP61913.1","CDO30_27160","gene-CDO30_RS27185",NA,1,2,0.1710601,"DZA, A17","shoot-_DZA, nod+_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-422960-A","pSymB","422960",NA,NA,0.063,0.067,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27190-gene-CDO30_RS27195",NA,1,1,0.5178267,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-423043-G","pSymB","423043",NA,NA,0.209,0.236,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27190-gene-CDO30_RS27195",NA,1,1,0.2596127,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-424630-T","pSymB","424630",424001,424942,0.33,0.292,"LOW","NP_436875.1","D-ribose ABC transporter substrate-binding protein","ASP61916.1","CDO30_27175","gene-CDO30_RS27200",NA,2,1,0.179944,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-425239-A","pSymB","425239",425108,425752,0.366,0.292,"LOW","NP_436876.1","DUF2291 domain-containing protein","ASP61918.1","CDO30_27185","gene-CDO30_RS27210",NA,1,1,0.1745594,"A17","nod+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-425341-C","pSymB","425341",425108,425752,0.23,0.18,"LOW","NP_436876.1","DUF2291 domain-containing protein","ASP61918.1","CDO30_27185","gene-CDO30_RS27210",NA,1,2,0.16788,"DZA, A17","shoot-_DZA, nod+_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-428716-A","pSymB","428716",428369,429403,0.351,0.27,"LOW","NP_436879.1","gfo/Idh/MocA family oxidoreductase","ASP63034.1","CDO30_27200","gene-CDO30_RS27225",NA,1,1,0.1691289,"A17","nod+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-429155-C","pSymB","429155",428369,429403,0.094,0.09,"MODERATE","NP_436879.1","gfo/Idh/MocA family oxidoreductase","ASP63034.1","CDO30_27200","gene-CDO30_RS27225",NA,1,1,0.2769608,"A17","nod.weight+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-431978-A","pSymB","431978",431442,432200,0.272,0.258,"LOW","NP_436881.1","DUF3365 domain-containing protein","ASP61922.1","CDO30_27210","gene-CDO30_RS27235",NA,1,2,0.19223635,"DZA, A17","nod.weight+_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-433832-C","pSymB","433832",432197,434950,0.487,0.416,"LOW","NP_436882.1","hybrid sensor histidine kinase/response regulator","ASP61923.1","CDO30_27215","gene-CDO30_RS27240",NA,1,1,0.2233287,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-434195-A","pSymB","434195",432197,434950,0.089,0.112,"MODERATE","NP_436882.1","hybrid sensor histidine kinase/response regulator","ASP61923.1","CDO30_27215","gene-CDO30_RS27240",NA,1,1,0.2605446,"A17","fit+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-437156-T","pSymB","437156",437028,438323,0.178,0.135,"LOW","NP_436885.1","hypothetical protein","ASP63035.1","CDO30_27230","gene-CDO30_RS27255",NA,2,2,0.25337065,"DZA, A17","shoot-_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-437621-C","pSymB","437621",437028,438323,0.482,0.438,"LOW","NP_436885.1","hypothetical protein","ASP63035.1","CDO30_27230","gene-CDO30_RS27255",NA,1,1,0.1391501,"A17","chloro1+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-43839-T","pSymB","43839",43239,44336,0.152,0.146,"LOW","NP_438090.1","carboxynorspermidine decarboxylase","ASP61568.1","CDO30_25310","gene-CDO30_RS25335","nspC",1,1,0.3392149,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-439097-C","pSymB","439097",NA,NA,0.401,0.448,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27260-gene-CDO30_RS27265",NA,1,1,0.1474467,"A17","chloro1-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-439202-A","pSymB","439202",439181,439978,0.435,0.427,"LOW","NP_436887.1","ion transporter","ASP61926.1","CDO30_27240","gene-CDO30_RS27265",NA,1,2,0.15823515,"DZA, A17","nod.weight+_DZA, chloro1+_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-439721-A","pSymB","439721",439181,439978,0.445,0.461,"LOW","NP_436887.1","ion transporter","ASP61926.1","CDO30_27240","gene-CDO30_RS27265",NA,1,1,0.152245,"DZA","nod.weight+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-439878-A","pSymB","439878",439181,439978,0.178,0.135,"MODERATE","NP_436887.1","ion transporter","ASP61926.1","CDO30_27240","gene-CDO30_RS27265",NA,1,1,0.2466118,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-440147-T","pSymB","440147",440069,440869,0.105,0.09,"LOW","NP_436888.1","inositol monophosphatase","ASP61927.1","CDO30_27245","gene-CDO30_RS27270",NA,1,1,0.3927028,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-440882-C","pSymB","440882",NA,NA,0.052,0.056,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27270-gene-CDO30_RS27275",NA,8,1,0.3801372,"A17","fit+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-442883-C","pSymB","442883",441958,444186,0.45,0.438,"MODERATE","NP_436890.2","iron ABC transporter permease","ASP61929.1","CDO30_27255","gene-CDO30_RS27280",NA,1,1,0.1690541,"DZA","nod.weight+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-444088-A","pSymB","444088",441958,444186,0.382,0.382,"LOW","NP_436890.2","iron ABC transporter permease","ASP61929.1","CDO30_27255","gene-CDO30_RS27280",NA,3,1,0.1897022,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-445471-G","pSymB","445471",NA,NA,0.073,0.079,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27285-gene-CDO30_RS27290",NA,4,1,0.41665,"A17","chloro1+_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-45001-G","pSymB","45001",44456,45772,0.141,0.135,"MODERATE","NP_438091.1","3-hydroxyacyl-CoA dehydrogenase","ASP61569.1","CDO30_25315","gene-CDO30_RS25340",NA,11,1,0.2411552,"DZA","nod+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-454124-A","pSymB","454124",453192,454184,0.063,0.056,"MODERATE","NP_436900.1","TRAP transporter substrate-binding protein DctP","ASP61938.1","CDO30_27305","gene-CDO30_RS27330",NA,1,1,0.3776613,"DZA","nod.weight+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-45472-G","pSymB","45472",44456,45772,0.12,0.112,"MODERATE","NP_438091.1","3-hydroxyacyl-CoA dehydrogenase","ASP61569.1","CDO30_25315","gene-CDO30_RS25340",NA,1,2,0.2835901,"DZA, A17","nod+_DZA, fit-_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-455975-A","pSymB","455975",455603,455986,0.195,0.18,"LOW","NP_436903.1","RidA family protein","ASP61941.1","CDO30_27320","gene-CDO30_RS27345",NA,1,1,0.2075994,"A17","nod-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-460670-A","pSymB","460670",459974,460804,0.178,0.157,"LOW","NP_436907.1","ABC transporter permease","ASP61945.1","CDO30_27340","gene-CDO30_RS27365",NA,1,1,0.2555588,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-460715-A","pSymB","460715",459974,460804,0.283,0.225,"LOW","NP_436907.1","ABC transporter permease","ASP61945.1","CDO30_27340","gene-CDO30_RS27365",NA,1,1,0.2279599,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-46673-G","pSymB","46673",NA,NA,0.408,0.438,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS25345-gene-CDO30_RS25350",NA,1,1,0.1595273,"A17","nod-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-47023-C","pSymB","47023",46690,47193,0.157,0.157,"LOW","NP_438093.1","acyl-CoA thioesterase","ASP61571.1","CDO30_25325","gene-CDO30_RS25350",NA,1,2,0.23100495,"DZA, A17","nod+_DZA, nod+_A17","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-471439-T","pSymB","471439",471188,473182,0.199,0.202,"LOW","NP_436917.1","Curdlan synthase","ASP61956.1","CDO30_27395","gene-CDO30_RS27420",NA,1,1,0.19606,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-474150-G","pSymB","474150",474070,475326,0.058,0.056,"LOW","NP_436919.1","ribulose 1%2C5-bisphosphate carboxylase","ASP61958.1","CDO30_27405","gene-CDO30_RS27430",NA,39,1,0.3034249,"DZA","shoot+_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-476514-T","pSymB","476514",475350,476678,0.194,0.191,"MODERATE","NP_436920.1","Hrp-dependent type III effector protein","ASP61959.1","CDO30_27410","gene-CDO30_RS27435",NA,1,1,0.1847525,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-477772-G","pSymB","477772",476718,478967,0.099,0.067,"MODERATE","NP_436921.1","dehydrogenase","ASP63038.1","CDO30_27415","gene-CDO30_RS27440",NA,1,1,0.243412,"DZA","shoot-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-477870-G","pSymB","477870",476718,478967,0.115,0.112,"LOW","NP_436921.1","dehydrogenase","ASP63038.1","CDO30_27415","gene-CDO30_RS27440",NA,2,1,0.2557633,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-481002-A","pSymB","481002",480724,481218,0.209,0.191,"LOW","NP_436924.1","hydrolase","ASP63039.1","CDO30_27430","gene-CDO30_RS27455",NA,1,1,0.2514764,"A17","fit-_A17","A17_only",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-48519-G","pSymB","48519",47190,49256,0.105,0.101,"MODERATE","NP_438094.3","bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase","ASP61572.1","CDO30_25330","gene-CDO30_RS25355",NA,1,2,0.3170201,"A17, DZA","nod-_A17, fit-_DZA","Both",NA,NA,NA,NA,NA,"non-pleio","sig"
"freebayes-snp-psymb-48582-A","pSymB","48582",47190,49256,0.429,0.461,"LOW","NP_438094.3","bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase","ASP61572.1","CDO30_25330","gene-CDO30_RS25355",NA,2,1,0.2284163,"DZA","fit-_DZA","DZA_only",NA,NA,NA,NA,NA,"non-pleio","sig"
